title,released,genres,description,link
Announce Earthquakes,2014,drama film,intentional act of causing one's own death,http://www.wikidata.org/entity/Q18533961
Antonio Vega. Tu voz entre otras mil,2014,documentary film,Spanish pop singer-songwriter,http://www.wikidata.org/entity/Q98152810
Anukshanam,2014,slasher film,individual who has killed three or more people over a period of more than a month,http://www.wikidata.org/entity/Q17495665
At the Devil's Door,2014,horror film,entites or phenomena that are thought to be beyond the laws of nature,http://www.wikidata.org/entity/Q17085298
Atari: Game Over,2014,documentary film,1983 video gaming economic recession,http://www.wikidata.org/entity/Q24521496
Attacking the Devil: Harold Evans and the Last Nazi War Crime,2014,documentary film,immunomodulatory drug known for its ability to cause birth defects,http://www.wikidata.org/entity/Q46997897
August: Osage County,2014,drama film,"sexual activity between family members or close relatives/family in which conflict, misbehavior, poor communication, neglect or abuse on the part of individual parents may occur continuously and regularly",http://www.wikidata.org/entity/Q4055443
Aussie Rules the World,2014,documentary film/sport film,contact sport invented in Melbourne,http://www.wikidata.org/entity/Q17514100
Autómata,2014,science fiction film/post-apocalyptic film/dystopian film,"field of computer science and engineering practices for intelligence demonstrated by machines and intelligent agents/rights accorded to robots or AI, possibly by humans",http://www.wikidata.org/entity/Q14369942
Baggage Claim,2014,comedy film,human activity involving mechanical flight in atmosphere,http://www.wikidata.org/entity/Q12101676
Bajo un manto de estrellas,2014,drama film,war between the Republicans and the Nationalists in Spain from 1936 to 1939,http://www.wikidata.org/entity/Q17364204
Baltimore Where You At?,2014,documentary film,genre of house and dance music,http://www.wikidata.org/entity/Q113031524
Banklady,2014,biographical film,German bank robbery (1934-2003),http://www.wikidata.org/entity/Q21083488
Bears,2014,documentary film,period of reproduction during which a female mammal carries one or more live offspring from implantation in the uterus through gestation/young of some mammals/large carnivoran mammal of the family Ursidae,http://www.wikidata.org/entity/Q12101942
Beautiful Youth,2014,drama film,explicit portrayal of sexual acts and intercourse in media,http://www.wikidata.org/entity/Q16736430
Before I Go to Sleep,2014,drama film/psychological thriller/mystery film/film based on a novel,"cognitive disorder where the memory is disturbed or lost and involves the loss of memories previously established, loss of the ability to create new memories, continuous high blood pressure and severe shock may also cause amnesia",http://www.wikidata.org/entity/Q14467251
Before Snowfall,2014,drama film,"homicide of a member of a family or social group by other members, due to the belief that the victim has brought dishonor upon the family or community",http://www.wikidata.org/entity/Q18912791
Beloved Sisters,2014,drama film/biographical film/romance film,Proto-Romantic movement in German literature and music,http://www.wikidata.org/entity/Q16840147
Beltracchi: The Art of Forgery,2014,documentary film,German art forger/creation of falsely credited art,http://www.wikidata.org/entity/Q16054614
Big Eyes,2014,drama film/biographical film/romance film/trial film,American artist (1927–2022)/American plagiarist (1915–2000),http://www.wikidata.org/entity/Q10858674
Big Game,2014,action film/adventure film,"use of violence as a form of political, economic and religious coercion",http://www.wikidata.org/entity/Q15243037
Birdman,2014,drama film/comedy film,collaborative form of performing art/impersonation of a character in an artistic performance/vernacular term for all aspects of entertainment/social status of publicly known persons/achievement of one's aim or goal,http://www.wikidata.org/entity/Q13255497
Birthday Wish,2014,comedy film,"feelings of love, romance, or infatuation felt by young people",http://www.wikidata.org/entity/Q28549113
Black or White,2014,drama film,broad term for problems with alcohol,http://www.wikidata.org/entity/Q16248744
Bloedlink,2014,thriller film,taking away or transportation of a person against that person's will,http://www.wikidata.org/entity/Q18202073
Blood Glacier,2014,horror film,major mountain range system in central Europe,http://www.wikidata.org/entity/Q16533034
Bloody Daughter,2014,documentary film/biographical film,Argentine pianist (born 1941),http://www.wikidata.org/entity/Q56190136
Boulevard,2014,drama film,"lesbian, gay, bisexual, and transgender persons",http://www.wikidata.org/entity/Q17478848
Boyhood,2014,drama film/coming-of-age fiction,"broad term for problems with alcohol/family in which conflict, misbehavior, poor communication, neglect or abuse on the part of individual parents may occur continuously and regularly",http://www.wikidata.org/entity/Q4103201
Bra Wars – Hollywood’s affair with the bra. From Cleopatra to Princess Leia and beyond.,2014,documentary film,"undergarment for supporting, promoting/concealing and confining breast movement",http://www.wikidata.org/entity/Q57262209
Breath of swamps,2014,documentary film,process to improve land conditions,http://www.wikidata.org/entity/Q100968734
Broken,2014,rape and revenge film,harmful action in response to a grievance,http://www.wikidata.org/entity/Q7967200
Cabin Fever: Patient Zero,2014,comedy horror,rapid spread of infectious disease to a large number of people in a given population within a short period of time,http://www.wikidata.org/entity/Q5015413
Captain America: The Winter Soldier,2014,action film/adventure film/science fiction film/superhero film,"use of violence as a form of political, economic and religious coercion/cognitive disorder where the memory is disturbed or lost and involves the loss of memories previously established, loss of the ability to create new memories, continuous high blood pressure and severe shock may also cause amnesia/monitoring of behavior, activities, or other changing information, for the purpose of influencing, managing or directing/aircraft without a human pilot aboard",http://www.wikidata.org/entity/Q1765358
Cartoonists - Foot Soldiers of Democracy,2014,documentary film,inalienable fundamental rights to which a person is inherently entitled,http://www.wikidata.org/entity/Q17175641
Circles,2014,drama film,"1992–1995 armed conflict in Bosnia and Herzegovina/series of wars and ethnic conflicts that took place on the lands of the former Yugoslavia/Yugoslav actor, beating victim (1966-1993)",http://www.wikidata.org/entity/Q12754266
Closed Circuit,2014,drama film/crime film,"use of violence as a form of political, economic and religious coercion",http://www.wikidata.org/entity/Q2979643
Clouds of Sils Maria,2014,drama film,major mountain range system in central Europe,http://www.wikidata.org/entity/Q14775069
Colors: Bangin' in South Carolina,2014,documentary film,violent group of individuals claiming control over a territory,http://www.wikidata.org/entity/Q18703103
Concussion,2014,drama film/LGBT-related film,engaging in sexual relations in exchange for payment,http://www.wikidata.org/entity/Q12109044
Cowspiracy: The Sustainability Secret,2014,documentary film,cultivation of plants and animals to provide useful products/issue regarding environmental policies,http://www.wikidata.org/entity/Q18206270
Cut Snake,2014,thriller film/LGBT-related film,"lesbian, gay, bisexual, and transgender persons",http://www.wikidata.org/entity/Q18164602
Da i Da,2014,melodrama,broad term for problems with alcohol,http://www.wikidata.org/entity/Q17582620
Dallas Buyers Club,2014,drama film/biographical film/LGBT-related film,spectrum of conditions caused by HIV infection/branch of biology concerning drugs/chemical compound/agency of the US Department of Health and Human Services,http://www.wikidata.org/entity/Q3520498
Dancing Arabs - A Borrowed Identity,2014,drama film,geopolitical conflict in the Middle East and North Africa,http://www.wikidata.org/entity/Q19362856
Danny,2014,documentary film,Canadian politician,http://www.wikidata.org/entity/Q19609438
Dark House,2014,horror film/thriller film,entites or phenomena that are thought to be beyond the laws of nature/house or other building often perceived as being inhabited by disembodied spirits of the deceased,http://www.wikidata.org/entity/Q4040451
Dawn,2014,drama film,"use of violence as a form of political, economic and religious coercion",http://www.wikidata.org/entity/Q20078746
Dawn at Midnight,2014,documentary film,"use of violence as a form of political, economic and religious coercion",http://www.wikidata.org/entity/Q16989208
Der Koch,2014,drama film,engaging in sexual relations in exchange for payment/movement of people into another country or region to which they are not native,http://www.wikidata.org/entity/Q19278027
Devil's Due,2014,horror film/psychological horror/mystery film/thriller film/found footage,time of human offspring development in mother's body/entites or phenomena that are thought to be beyond the laws of nature,http://www.wikidata.org/entity/Q15040718
Dhoom 3,2014,action film/heist film/thriller film/black comedy film,neurodevelopmental condition,http://www.wikidata.org/entity/Q14948561
Diana,2014,drama film/biographical film/film based on books,Member of the British royal family and Princess of Wales (1961–1997),http://www.wikidata.org/entity/Q1825585
Digital Amnesia,2014,documentary film,"conceptual situation in which large swathes of historic digitised materials are inaccessible/American non-profit organization/formal endeavor to ensure that digital information of continuing value remains accessible, trustworthy, and usable",http://www.wikidata.org/entity/Q55754803
Diplomacy,2014,drama film/war film/historical film,1939–1945 global conflict,http://www.wikidata.org/entity/Q15990773
Disconnect,2014,drama film/thriller film,engaging in sexual relations in exchange for payment/human activity related to the processing of information by use of mechanical devices,http://www.wikidata.org/entity/Q3030138
Drone,2014,documentary film,use of aircraft by armed forces in combat or other military capacity/unmanned aerial vehicle that is usually armed,http://www.wikidata.org/entity/Q19363582
E-Team,2014,documentary film,inalienable fundamental rights to which a person is inherently entitled,http://www.wikidata.org/entity/Q16250059
Earth to Echo,2014,drama film/fantasy film/adventure film/science fiction film/family film/children's film/found footage,life that does not originate from Earth,http://www.wikidata.org/entity/Q16031637
Eat Your Bones,2014,drama film,"killing of a human being by another human being. Use as value for ""manner of death"" (P1196)/relationship between siblings/penological process to make a person again a functional part of society/act of taking another's property without permission or consent/ethnic group that originated in Northern India",http://www.wikidata.org/entity/Q17634702
Ecotherapy Getaway Holiday,2014,drama film/comedy film,"purposeful interaction of the actions of two or more creatures, people, organisations, or systems/system of behaviors and psychological processes occurring within a social group or between social groups/formation of a close personal relationship between women/walking as a hobby, sport, or leisure activity",http://www.wikidata.org/entity/Q105768386
Edge of Tomorrow,2014,science fiction film/military science fiction/dystopian film/science fiction action film/film based on literature,plot device in science fiction/common theme in science fiction stories and film,http://www.wikidata.org/entity/Q1187607
Ein Geschenk der Götter,2014,drama film/comedy film,state of being without work and actively seeking work,http://www.wikidata.org/entity/Q19644634
"Electric Boogaloo: The Wild, Untold Story of Cannon Films",2014,documentary film,comprises the technological and commercial institutions of filmmaking,http://www.wikidata.org/entity/Q18165571
En prest og en plage,2014,documentary film,Norwegian priest,http://www.wikidata.org/entity/Q17525022
Ender's Game,2014,fantasy film/action film/adventure film/science fiction film/teen film/children's film/film based on a novel,common theme in science fiction stories and film,http://www.wikidata.org/entity/Q1758112
Erasing Dad,2014,documentary film,court order whereby custody of a child is awarded to both parties/relationship between a father and his child,http://www.wikidata.org/entity/Q17993493
Even Though the Whole World Is Burning,2014,documentary film/drama film/biographical film/historical film,issue regarding environmental policies,http://www.wikidata.org/entity/Q18354319
Ex Machina,2014,drama film/science fiction film/arthouse science fiction film/psychological thriller film,"field of computer science and engineering practices for intelligence demonstrated by machines and intelligent agents/robot resembling a human, or in other uses specifically a male human/stock character; an insane or highly eccentric scientist, often villainous or amoral/fictional character type",http://www.wikidata.org/entity/Q16635326
Exodus: Gods and Kings,2014,drama film/historical film,"system under which people are treated as property to be bought and sold, and are forced to work/story of the freeing of the Israelites from bondage in Egypt, narrated in the Torah",http://www.wikidata.org/entity/Q14942871
Extraterrestrial,2014,horror film/science fiction film,life that does not originate from Earth,http://www.wikidata.org/entity/Q16649033
Far from Men,2014,drama film,war between France and the Algerian independence movement from 1954 to 1962,http://www.wikidata.org/entity/Q17605514
Farewell Herr Schwarz,2014,documentary film,1939–1945 global conflict,http://www.wikidata.org/entity/Q16513147
Farmland,2014,documentary film,major industry in the United States,http://www.wikidata.org/entity/Q16975730
Fashion King,2014,comedy drama/teen film,"popular style or practice in clothing, personal adornment, or decorative arts",http://www.wikidata.org/entity/Q16255655
Fast-Track Injustice,2014,documentary film,kind of extradition within the European Union,http://www.wikidata.org/entity/Q23706624
Fed Up,2014,documentary film,medical condition in which excess body fat harms health,http://www.wikidata.org/entity/Q16980548
Filmed in Supermarionation,2014,documentary film,comprises the technological and commercial institutions of filmmaking,http://www.wikidata.org/entity/Q18786547
Finding Fela!,2014,documentary film,Nigerian musician and activist (1938–1997),http://www.wikidata.org/entity/Q16156178
Finding Home,2014,documentary film,trade of sexual slaves,http://www.wikidata.org/entity/Q47501076
Finding Vivian Maier,2014,documentary film/biographical film,female adult human/person who takes photographs/American street photographer,http://www.wikidata.org/entity/Q17540704
Flapping in the Middle of Nowhere,2014,melodrama/coming-of-age fiction,intentional ending of a pregnancy,http://www.wikidata.org/entity/Q20800478
Flowers of Taipei - Taiwan New Cinema,2014,documentary film,comprises the technological and commercial institutions of filmmaking,http://www.wikidata.org/entity/Q61726935
Flying The Feathered Edge: The Bob Hoover Project,2014,documentary film,human activity involving mechanical flight in atmosphere/American test pilot and aerobatics legend (1922-2016),http://www.wikidata.org/entity/Q18703131
Food Chains,2014,documentary film,major industry in the United States,http://www.wikidata.org/entity/Q18703133
Four Moons,2014,drama film/romance film/LGBT-related film,"lesbian, gay, bisexual, and transgender persons",http://www.wikidata.org/entity/Q5191878
Frames,2014,digital art,art/activity of creating art using sound,http://www.wikidata.org/entity/Q107613871
From Vegas to Macau,2014,action film/crime film,wagering of money on a game of chance or event with an uncertain outcome,http://www.wikidata.org/entity/Q14948564
Fury,2014,drama film/action film/war film,1939–1945 global conflict/Germany from 1933 to 1945 while under control of the Nazi Party/military use of armored fighting vehicles in war,http://www.wikidata.org/entity/Q14786561
Gett: The Trial of Viviane Amsalem,2014,drama film,"one of the three major Judaism movement, and the formal one in Israel/termination of a marital union/Jewish divorce document/week-long mourning period in Judaism for first-degree relatives",http://www.wikidata.org/entity/Q16639016
Grace of Monaco,2014,drama film/biographical film,American actress and Princess consort of Monaco (1929–1982),http://www.wikidata.org/entity/Q137098
Grace.,2014,drama film,broad term for problems with alcohol,http://www.wikidata.org/entity/Q19878525
Grudge Match,2014,comedy film/boxing film,full-contact combat sport/consists of ages nearing or surpassing the life expectancy of human beings,http://www.wikidata.org/entity/Q3118162
Haider,2014,drama film/romance film,"use of violence as a form of political, economic and religious coercion",http://www.wikidata.org/entity/Q15726236
Harmontown,2014,documentary film,comedy podcast started in 2012,http://www.wikidata.org/entity/Q20020869
Heli,2014,drama film,"form of dishonesty or criminal offense undertaken by a person or organization entrusted with a position of authority, to acquire illicit benefit or abuse power for one's private gain/low-intensity asymmetric war between the Mexican Government and various drug trafficking syndicates/social class formed by people suffering from precarity",http://www.wikidata.org/entity/Q12155649
Her,2014,drama film/comedy film/science fiction film/romantic comedy/arthouse science fiction film,field of computer science and engineering practices for intelligence demonstrated by machines and intelligent agents/physical or emotional intimacy between humans/area of research in computer science aiming to understand the emotional state of users/love based relationship/mobile software agent/concept of existing in a physical form/relationship between human and machine/romantic relationship between two individuals which is highly discouraged or strongly opposed by a third party,http://www.wikidata.org/entity/Q788822
Hercules,2014,fantasy film/action film,"divine hero in Greek mythology, son of Zeus and Alcmene",http://www.wikidata.org/entity/Q14522493
Hercules Reborn,2014,action film/adventure film,"divine hero in Greek mythology, son of Zeus and Alcmene",http://www.wikidata.org/entity/Q64584873
Hillsborough,2014,documentary film,incident which occurred during the FA Cup semi-final match in 1989,http://www.wikidata.org/entity/Q24060244
House of Manson,2014,biographical film,"American criminal and cult leader (1934–2017)/commune established in California in the late 1960s, led by Charles Manson",http://www.wikidata.org/entity/Q23023227
Hussein Who Said No,2014,epic poem,Battle in October 680 between the army of Yazid I and al-Husayn ibn Ali,http://www.wikidata.org/entity/Q5937797
I Am Ali,2014,documentary film/biographical film/boxing film,"American boxer, philanthropist, and activist (1942–2016)",http://www.wikidata.org/entity/Q19844900
I Am Femen,2014,documentary film,Feminist Ukrainian group,http://www.wikidata.org/entity/Q55755631
I Am. Shimon Peres,2014,documentary film,Israeli politician who served as Prime Minister and then President of Israel (1923-2016),http://www.wikidata.org/entity/Q50414226
Ida,2014,drama film,"Christian doctrine professed by the Catholic Church/political and socioeconomic ideology/hostility, prejudice, or discrimination against Jews",http://www.wikidata.org/entity/Q15087230
Ilusión Nacional,2014,documentary film/association football film,sport that is practiced between two teams of eleven players,http://www.wikidata.org/entity/Q17412636
Imagine,2014,drama film/romance film,complete or nearly complete lack of vision; visual acuity worse than 3/60/human ability to detect surroundings using sounds,http://www.wikidata.org/entity/Q6002660
In Order of Disappearance,2014,drama film/comedy film/action film/crime film/thriller film/vigilante film/action comedy film,harmful action in response to a grievance,http://www.wikidata.org/entity/Q15729024
In the Basement,2014,documentary film,study of mental functions and behaviours,http://www.wikidata.org/entity/Q18170085
In the Grayscale,2014,drama film/romance film/LGBT-related film,romantic or sexual attraction or behavior between members of the same sex or gender/sexual and/or romantic attraction to people of more than one gender/legal process by which a married couple may formalize a de facto separation while remaining legally married,http://www.wikidata.org/entity/Q19730207
Inside Llewyn Davis,2014,drama film/musical film/comedy drama,"music meta-genre encompassing traditional folk music, contemporary folk music (evolved from the former during the 20th-century folk revival), and derivatives of these two branches/person who composes, conducts or performs music/state or event of not meeting a desired or intended objective/will to succeed/hurtful condition of having lost something or someone",http://www.wikidata.org/entity/Q2340655
Interstellar,2014,drama film/adventure film/science fiction film/dystopian film/time-travel film,plot device in science fiction/term used for hypothetical crewed or uncrewed transport between stars/risks of hypothetical future events that have the potential to harm humans and humanity on a global scale,http://www.wikidata.org/entity/Q13417189
Iris,2014,documentary film,designer,http://www.wikidata.org/entity/Q50414134
Iron Ivan,2014,drama film/biographical film,full-contact combat sport,http://www.wikidata.org/entity/Q17582651
Is the Man Who Is Tall Happy?,2014,documentary film,American linguist and activist (born 1928),http://www.wikidata.org/entity/Q16386403
Istanbul United,2014,documentary film/sport film,"sports club in Istanbul, Turkey/Turkish association football team/association football section of multi-sports club Fenerbahçe SK/protests in Turkey",http://www.wikidata.org/entity/Q47125967
It Follows,2014,supernatural fiction/horror film/psychological horror,"supernatural hindrance, or incantation intended to bestow such a hindrance/situation that is potentially hazardous",http://www.wikidata.org/entity/Q16547881
It Takes Two to Fence,2014,drama film/romance film,romantic relationship involving three people,http://www.wikidata.org/entity/Q44871536
Iverson,2014,documentary film,American basketball player,http://www.wikidata.org/entity/Q50413606
Jack to a King – The Swansea Story,2014,documentary film/drama film/association football film,sport that is practiced between two teams of eleven players,http://www.wikidata.org/entity/Q18126207
Jappeloup,2014,drama film,show jumping horse,http://www.wikidata.org/entity/Q12013827
Jia Zhang-ke by Walter Salles,2014,documentary film,Chinese film director and screenwriter,http://www.wikidata.org/entity/Q57959131
Jinn,2014,action film/horror film/thriller film,supernatural spirits integrated in Islamic beliefs,http://www.wikidata.org/entity/Q6202628
Joe,2014,drama film/film based on literature,broad term for problems with alcohol,http://www.wikidata.org/entity/Q4160350
John Wick,2014,action film/thriller film/crime thriller,harmful action in response to a grievance/civilian who undertakes law enforcement without legal authority,http://www.wikidata.org/entity/Q15732802
Josefov Meadows,2014,short film/documentary film,,http://www.wikidata.org/entity/Q117756748
Journey to Le Mans,2014,documentary film,auto racing championship in Europe,http://www.wikidata.org/entity/Q18786588
Just Eat It: A Food Waste Story,2014,documentary film,"food that is discarded, disposed of or lost uneaten",http://www.wikidata.org/entity/Q117040055
Kano,2014,sport film,American-originated sport in which teams compete to score runs by hitting a thrown ball and advancing around bases,http://www.wikidata.org/entity/Q10851237
Killers,2014,crime film/thriller film,individual who has killed three or more people over a period of more than a month,http://www.wikidata.org/entity/Q15618690
Kilo Two Bravo,2014,drama film/action film/war film/thriller film,2001 conflict between NATO Western forces and the Taliban,http://www.wikidata.org/entity/Q18611395
Kingsman: The Secret Service,2014,comedy film/action film/crime film/spy film/action comedy film,"use of violence as a form of political, economic and religious coercion",http://www.wikidata.org/entity/Q15068238
Kumu Hina,2014,documentary film/LGBT-related film,notable Kumu Hula,http://www.wikidata.org/entity/Q23023298
La visita,2014,drama film/LGBT-related film,"gender identity other than sex assigned at birth/film genre dealing with homosexuality, bisexuality, trans, or related topics",http://www.wikidata.org/entity/Q47766039
Lady Maiko,2014,musical film,"transmission of knowledge and skills/traditional Japanese female entertainers and hostesses/the past in its reflection on social psychologies/social phenomenon whereby members of one social group differentiate themselves intentionally or unintentionally from members of other social groups/dialect in the Japanese language/economic sector related to tourism/the dialect of Kyoto, Japan/concept of linguistics",http://www.wikidata.org/entity/Q17220768
Land Ho!,2014,comedy film/adventure film/buddy film,consists of ages nearing or surpassing the life expectancy of human beings,http://www.wikidata.org/entity/Q17093259
Lasa eta Zabala,2014,political thriller film,,http://www.wikidata.org/entity/Q19685580
Le nez,2014,documentary film,sense that detects odors,http://www.wikidata.org/entity/Q47011618
Leviathan,2014,drama film,broad term for problems with alcohol,http://www.wikidata.org/entity/Q15972383
Life Itself,2014,documentary film/biographical film,American film critic and author (1942–2013)/comprises the technological and commercial institutions of filmmaking,http://www.wikidata.org/entity/Q12125718
Like Someone in Love,2014,drama film,engaging in sexual relations in exchange for payment,http://www.wikidata.org/entity/Q1059733
Lone Survivor,2014,drama film/action film/war film/biographical film/film based on books,2005 military operation during the War in Afghanistan,http://www.wikidata.org/entity/Q3258993
Lost Soul: The Doomed Journey of Richard Stanley's Island of Dr. Moreau,2014,documentary film,1996 film directed by John Frankenheimer,http://www.wikidata.org/entity/Q18170164
Love Bite,2014,comedy film/horror film/comedy horror/teen film,state of a person who has never engaged in sexual intercourse,http://www.wikidata.org/entity/Q6690377
Love Me,2014,documentary film,woman who advertises for marriage,http://www.wikidata.org/entity/Q50414475
Love is a Verb,2014,documentary film,"Turkish preacher, writer, and former imam/Transnational civic movement",http://www.wikidata.org/entity/Q28530489
Low Down,2014,drama film/biographical film/film based on literature,American pianist,http://www.wikidata.org/entity/Q17079909
Lucy,2014,science fiction/drama film/action film/science fiction film/biopunk/girls with guns,urban legend/global black market in illegal drugs/enhancement,http://www.wikidata.org/entity/Q15624215
Manhole,2014,thriller film,individual who has killed three or more people over a period of more than a month,http://www.wikidata.org/entity/Q17899269
Mary's Land,2014,comedy film,Supernatural appearance by the Virgin Mary,http://www.wikidata.org/entity/Q18431905
Messi,2014,documentary film/biographical film/sport film/association football film,Argentine association football player (born 1987),http://www.wikidata.org/entity/Q18703186
Misfire,2014,action film,United States federal law enforcement agency,http://www.wikidata.org/entity/Q20649731
Mission Blue,2014,documentary film,"project to establish marine protected areas (""Hope Spots"") around the globe",http://www.wikidata.org/entity/Q50414478
Mistaken for Strangers,2014,documentary film/musical film,American indie rock band,http://www.wikidata.org/entity/Q23000024
Monk with a Camera,2014,documentary film,person who takes photographs,http://www.wikidata.org/entity/Q18611409
Monsoon,2014,documentary film,issue regarding environmental policies,http://www.wikidata.org/entity/Q19573048
Monsters: Dark Continent,2014,horror film/science fiction film/thriller film,common theme in science fiction stories and film,http://www.wikidata.org/entity/Q16579459
Monuments Men,2014,drama film/war film/biographical film,1939–1945 global conflict/Nazi looting in WWII/Allied program to help protect cultural property (1906-1981),http://www.wikidata.org/entity/Q4407383
Mount Hakkoda,2014,documentary film,activity to ascend a steep object/1902 mountaineering disaster,http://www.wikidata.org/entity/Q17224388
Mr. Kaplan,2014,drama film/comedy film/film based on literature,prisoner functionary in Nazi concentration camp/response to distress/one who survived the Holocaust/process of dealing with one's own past as a topic in psychology and the arts,http://www.wikidata.org/entity/Q18170211
Mr. Turner,2014,drama film/biographical film,English painter and draftsman (c.1775–1851),http://www.wikidata.org/entity/Q16028723
Mudbloods,2014,documentary film,sport based on the fictional game featured in Harry Potter,http://www.wikidata.org/entity/Q21086440
Name Me,2014,drama film,"family in which conflict, misbehavior, poor communication, neglect or abuse on the part of individual parents may occur continuously and regularly",http://www.wikidata.org/entity/Q58874656
Nat King Cole: Afraid of the Dark,2014,documentary film/biographical film,American singer and jazz pianist (1919–1965),http://www.wikidata.org/entity/Q47538471
National Gallery,2014,documentary film,"art museum in London, England",http://www.wikidata.org/entity/Q19795309
Nebraska,2014,drama film/comedy drama,"consists of ages nearing or surpassing the life expectancy of human beings/family in which conflict, misbehavior, poor communication, neglect or abuse on the part of individual parents may occur continuously and regularly",http://www.wikidata.org/entity/Q3337646
Need for Speed,2014,drama film/action film/crime film/thriller film,motorized road vehicle designed to carry one to eight people rather than primarily goods/motorsport involving the racing of cars for competition/harmful action in response to a grievance,http://www.wikidata.org/entity/Q13374569
Neighbors,2014,comedy film,geographically-nearby person or other occupant/collegiate social organization for men,http://www.wikidata.org/entity/Q14802842
Night Moves,2014,drama film/thriller film,"emotional experience that occurs when a person believes or realizes—accurately or not—that they have compromised their own standards of conduct or have violated universal moral standards and bear significant responsibility for that violation/state or fact of being responsible, of having influence over certain events and potentially bearing the burden of their consequences/activities to preserve natural world",http://www.wikidata.org/entity/Q12126557
Nightcrawler,2014,neo-noir/thriller film/drama film,"subset of media ethics dealing with principles of ethics and good practice applicable to journalists/form of journalism, where the journalist shoots, edits and often presents their own video material/business model based on communicating information, art and entertainment to a large audience/type of editorial tactic in mass media",http://www.wikidata.org/entity/Q15154975
No No: A Dockumentary,2014,documentary film,American-originated sport in which teams compete to score runs by hitting a thrown ball and advancing around bases/American baseball player (1945-2008),http://www.wikidata.org/entity/Q17114416
Noah,2014,drama film/fantasy film/adventure film/epic film/speculative/fantastic fiction film/apocalyptic film,time of human offspring development in mother's body/art of operating a ship or boat,http://www.wikidata.org/entity/Q286868
